name,address,city,state,zip,total_units, Price/Unit ,net_operating_income,cap_rate,asking_price,opportunity_zone,longitude,latitude
Cedar Creek Manufactured Housing Community,10001 Garners Ferry Rd,Eastover,SC,29044,58,"$51,316 ","$258,045.00 ",6.62%,"$3,900,000.00 ",No,-80.824057,33.9506658
Creekside Mobile Home Park,1065 Coal Creek Rd,Longview,WA,98632,,,,,"$1,250,000.00 ",No,-123.0195026,46.2002643
Casey's Riverside RV Park,46443 Westfir Rd,Westfir,OR,97492,79,,"$436,533.00 ",8.25%,"$5,290,000.00 ",No,-122.5286585,43.7571585
Mobile Home Park,-,Artesia,NM,88210,35,,,8.25%,"$1,700,000.00 ",No,-104.4097593,32.83829
4748 Ranco Circle,4748 Ranco Cir,Ooltewah,TN,37363,33,,,,"$2,950,000.00 ",No,-85.1149909,35.0696289
Herlong Mobile Home  RV Park,740990 Arroyo Dr,Herlong,CA,96113,73,"$25,548 ","$115,326.00 ",6.18%,"$1,865,000.00 ",No,-120.1742093,40.145759
4150 Soquel Dr,4150 Soquel Dr,Soquel,CA,95073,23,,,,"$3,400,000.00 ",No,-121.9631375,36.9871774
Laurel  The Oaks,1600 Main St,La Marque,TX,77568,61,,"$233,297.00 ",,"$3,650,000.00 ",Yes,-94.9674292,29.358361
Hendersonville RV Park with Rental Income,2853 Chimney Rock Rd,Hendersonville,NC,28792,,,,,"$890,000.00 ",No,-82.417186,35.3603921
Prairie View Acres MHP,5900 Osage Rd,Waterloo,IA,50703,46,"$16,964 ","$132,000.00 ",13.89%,"$950,000.00 ",No,-92.22236381,42.48347945
5360 E Hwy 160,5360 E Hwy 160,Pagosa Springs,CO,81147,3,,"$146,604.00 ",5.24%,"$2,800,000.00 ",Yes,-106.959659,37.32578014
Baldwin Mobile Home Park,934 High Hill Rd,Darlington,SC,29532,32,"$43,750 ","$97,506.00 ",,"$1,400,000.00 ",No,-79.8959886,34.2754066
10175 W Fishbowl Drive,10175 W Fishbowl Dr,Homosassa,FL,34448,,,,,"$4,000,000.00 ",No,-82.603312,28.792091
12995 21st St. NW,12995 21St St. NW,Arnegard,ND,58835,8,"$27,500 ",,,"$220,000.00 ",No,-103.5085894,47.718022
Columbia Avenue 24-Unit Portfolio,269 Superior Cir,Bristol,VA,24201,24,,,6.47%,"$1,404,000.00 ",No,-82.1697738,36.605328
Pine Hill Mobile Home Park,30 Private Rd 3015,Mount Pleasant,TX,75455,26,"$35,000 ","$63,778.00 ",7.01%,"$910,000.00 ",No,-94.9369288,33.1929303
Valley Village Tiny Homes  RV Park,3827 Swan Valley Hwy,Irwin,ID,83428,13,,,,"$1,150,000.00 ",No,-111.2298121,43.3634697
"45 Space RV Park in Cuero, Tx, Dewitt Co with Office",1009 W Heaton St,Cuero,TX,77954,45,,,,"$750,000.00 ",No,-97.30248793,29.08703331
4 unit Investment package,601 S Center St,Fort Branch,IN,47648,4,,"$15,217.00 ",6.70%,"$227,000.00 ",No,-87.5762861,38.2428289
Hidden Valley Mobile Home Park,2719 Central Ave,Hot Springs,AR,71913,,,,,"$2,600,000.00 ",No,-93.0597051,34.4840256
13892 Business 83,13892 US-83 BUS,La Feria,TX,78559,25,,,,"$697,000.00 ",No,-97.7998069,26.165662
Eugene Oregon MHC Portfolio,400 N Pacific Hwy,Creswell,OR,97426,,,,,,No,NA,NA
Plattsburgh MHC Portfolio,2 Vermont St,Plattsburgh,NY,12901,144,,,,,Yes,NA,NA
"Mixed Use, Commercial  Multifamily value Add",3693 US-63,West Plains,MO,65775,4,,,,"$645,000.00 ",No,-91.8960534,36.7897248
Shady Pines,1750 Lee Rd,Quincy,CA,95971,61,,"$308,124.00 ",6.80%,"$4,500,000.00 ",No,-120.9079053,39.9363458
Pebble Beach Mobile Home Park,65 Pebble Dr,Dunlap,TN,37327,,"$22,391 ","$59,626.00 ",11.50%,"$515,000.00 ",No,-85.366376,35.394776
Three Oaks Mobile Home Park,6801 Rogue River Hwy,Grants Pass,OR,97527,7,,"$80,353.00 ",7.37%,"$1,090,000.00 ",No,-123.2107328,42.41888642
Country Meadows MHC,786 NY-221,Harford,NY,13784,38,,"$133,678.00 ",9.90%,"$1,350,000.00 ",No,-76.2392217,42.4274943
Development Opportunity,9167 FM 2409,Moody,TX,76557,,,,,"$1,250,000.00 ",No,-97.43134086,31.21540369
MAGNOLIAWOODLANDS 10 AC UNRESTRICTED GEM,8406 Matthews Ln,Magnolia,TX,77354,,,,,"$1,800,000.00 ",No,-95.5898825,30.1667482
1701 County Road 413,1701 Co Rd 413,Taylor,TX,76574,,,,,"$3,500,000.00 ",No,-97.368172,30.632143
Valley View South MHP,1106 Rim Rd,Quincy,IL,62305,18,"$26,389 ","$35,122.00 ",7.39%,"$475,000.00 ",No,-91.30637742,39.91737155
Manteno Point Mobile Home Park,10617 N State Rte 50,Manteno,IL,60950,13,"$53,846 ","$92,990.00 ",13.28%,"$700,000.00 ",No,-87.8206248,41.2739084
Brookings Rv Park,96707 E Harris Heights Rd,Brookings,OR,97415,41,,"$165,513.00 ",6.90%,"$2,400,000.00 ",No,-124.306636,42.0725993
Dickinson Mobile Home Park,4411 32nd St E,Dickinson,TX,77539,45,,,,,No,NA,NA
Brown,5945 Julian Airport Road,Liberty,NC,27298,,,,,,Yes,-79.6500499,35.899023
Henderson RV Park,3424 FM 13,Henderson,TX,75654,40,"$27,500 ","$89,339.00 ",8.12%,"$1,100,000.00 ",Yes,-94.85333784,32.15081271
"Wapello, IA Pawa MHC",US-61,Wapello,IA,52653,8,"$13,200 ","$24,939.00 ",12.53%,"$199,000.00 ",No,-91.19125001,41.1748026
Branson RV Park,3330 Harvey Ln,Branson,MO,65616,,,,,"$1,200,000.00 ",No,-93.2826281,36.636591
Dream Catcher RV Park,4400 E Pine St,Deming,NM,88030,,,,,"$2,600,000.00 ",No,-107.7114393,32.2727877
23 Bradley Road,23 Bradley Road,Fort Mitchell,AL,36856,,,,,"$265,000.00 ",No,-85.014097,32.304216
Hidden Lakes Opportunity,10111 W Hidden Lake Ln,Richmond,TX,77406,,,,,"$3,000,000.00 ",No,-95.8257654,29.6721098
3922 N Twin City Hwy,3922 N Twin City Hwy,Nederland,TX,77627,,,,,"$700,000.00 ",No,-94.0185509,30.0001722
Western and North Forest,Western and North Forest,Amarillo,TX,79124,,,"$971,700.00 ",52.52%,"$1,850,000.00 ",No,-101.9576317,35.2552151
"Hunting andor Fishing Camp, 2 acres with 5 mobile homes",14095 Hwy 222,Crane Hill,AL,35053,5,,,,"$275,000.00 ",No,-87.0824045,34.0519273
Oak Alley MHP,114 Sandal St,West Monroe,LA,71292,44,,"$145,000.00 ",11.00%,"$1,360,000.00 ",No,-92.1590015,32.4745378
Cooper Road Park,121 Cooper Rd,Wappingers Falls,NY,12524,13,,"$78,168.00 ",8.93%,"$875,000.00 ",No,-73.899876,41.557425
1870 RV RESORT DEVELOPMENT SITE WITH ENTITLEMENTS,"135 North CR 315 Interlachen, FL 32148",Interlachen,FL,32148,115,,"$1,000,000.00 ",20.00%,"$1,799,000.00 ",No,-81.88675205,29.63300871
RV Park Portfolio in Ada,14256 County Rd 1554,Ada,OK,74820,138,"$34,579 ","$276,000.00 ",7.46%,"$3,700,000.00 ",Yes,NA,NA
Arlington Heights Mobile Home Park,1377 Arlington Rd,Taylorsville,CA,95983,40,,"$106,765.00 ",8.06%,"$1,325,000.00 ",Yes,-120.8955867,40.083275
Mobile Home Park in New York State,N/A,N/A,N/A,N/A,,,,,"$550,000.00 ",No,NA,NA
Madrone Mobile Home Park,2510 US-199,Crescent City,CA,95531,73,,,5.20%,"$4,450,000.00 ",No,-124.0636488,41.7916572
Lake in the Forest RV Resort,19115 SE 44th St,Ocklawaha,FL,32179,,,,,"$2,600,000.00 ",No,-81.8355817,29.1461221
146 Acres I-75 Interchange,I-75 cr 673,Bushnell,FL,33513,,,,,,No,-82.1462058,28.6639382
Orange Grove RV Park - Value Add  Large Income Potential,176 Co Rd 304,Orange Grove,TX,78372,16,,,9.00%,"$900,000.00 ",No,-97.97612866,27.99545826
10-Sp MHP Plus 1200 SF SFH Financing Available,5821 W Hwy 92,Plant City,FL,33566,10,,"$134,328.00 ",10.00%,"$1,500,000.00 ",No,-82.200315,28.020985
5 Unit Tiny Home Multi Family Homes For Sale in Texas,197 County Rd 2302,Rusk,TX,75785,5,,,10.62%,"$525,000.00 ",No,-95.162015,31.774282
Kozy Acres,13 Van Rensselaer Street Seneca Falls NY 13148,Seneca Falls,N/A,13148,14,,"$68,187.00 ",9.75%,"$699,000.00 ",No,-76.7966215,42.9106219
K  M RV Park,9610 W County Rd 154,Midland,TX,79706,0,,,,"$1,600,000.00 ",No,-102.1916738,31.8778172
5-Unit Multi Family Tiny Home Park,197 County Rd 2302,Rusk,TX,75785,5,,"$55,159.00 ",10.51%,"$525,000.00 ",No,-95.162015,31.774282
"Valley View MH  RV Park - Duncan, AZ",411 Corral Road,Duncan,AZ,85534,155,,"$456,497.00 ",10.14%,"$4,500,000.00 ",Yes,-109.2022201,32.92412831
Van Ettan Village,4385 Van Ettan Dam Rd,Oscoda,MI,48750,0,,,,"$199,900.00 ",No,-83.3390178,44.4496292
5th  Walnut Mobile Home Units,605 N 5th St,Clinton,MO,64735,4,,"$25,478.00 ",13.48%,"$189,000.00 ",No,-93.7690152,38.3768126
Rolling Stone Stables  RV Park - Fountain Lake Subdivision,5927 Racoon Rd,Shawnee,OK,74804,80,"$37,500 ","$139,610.00 ",4.65%,"$3,000,000.00 ",No,NA,NA
Open Gate MHP,2655 SE Carroll St,Stuart,FL,34997,23,"$78,261 ","$113,922.00 ",6.33%,"$1,800,000.00 ",No,-80.2186517,27.14425455
"107 Orval St., Elsberry MO 63343 Ref 4203 - MLS 24038851",107 Orval St,Elsberry,MO,63343,14,"$70,714 ",,,"$990,000.00 ",No,-90.7884365,39.1813253
8 Cap Rate Porter RV park,22835 Ford Rd,Porter,TX,77365,26,,,8.00%,,No,-95.221261,30.0964285
"Mobile Home Park in Alexander, ND",302 Delaney St,Alexander,ND,58831,19,,,,"$1,200,000.00 ",No,-103.640103,47.845501
North Ranch RV Park,30625 State Route 89,Congress,AZ,85332,109,,,,"$3,150,000.00 ",No,-112.8306318,34.1046973
New Iberia Manufactured Housing Community,4619 Old La 25,New Iberia,LA,70560,,"$50,000 ",,,"$1,500,000.00 ",No,-91.8891913,29.97888
Arch MHC,5115 Jefferson Ave,Newport News,VA,23605,3,,"$173,658.00 ",9.14%,"$1,900,000.00 ",No,-76.4328474,36.9990144
1303 Paradise Way Mobile Home Park,1303 Paradise Way,Navasota,TX,77868,,,,,"$2,199,000.00 ",No,-96.1596937,30.4651358
Whiskey Creek Mobile Home Estates  Airport,51 Whiskey Cr Airport Rd,Silver City,NM,88061,43,,,,"$2,260,850.00 ",No,-108.2099363,32.7659654
Prairie Place,3710 Daffodil Dr,Bloomington,IL,61705,37,,"$162,836.00 ",,"$2,710,000.00 ",No,-89.032689,40.434317
28 Acres w House  FM 1208 Access,2122 FM1208,Stanton,TX,79782,,,,,"$798,000.00 ",No,-101.929898,32.100966
Webster MHC,26623 Sturgeon Ave N,Webster,WI,54893,15,,"$33,565.00 ",7.46%,"$450,000.00 ",No,-92.3674946,45.8827028
Hampton SC Portfolio,119 Lightsey St,Hampton,SC,29924,14,"$42,857 ","$54,257.00 ",9.04%,"$600,000.00 ",No,-81.1130677,32.8723452
11 Unit Mobile Home Park,NW 30th St,Okeechobee,FL,34972,,,,10.00%,"$1,300,000.00 ",No,-80.887365,27.2709166
Raccoon Valley RV Park,908 E Raccoon Valley Dr,Heiskell,TN,37754,,,,,"$2,150,000.00 ",No,-84.0321074,36.0971481
23 units RVMobile Home Park,3993 US-441,Okeechobee,FL,34974,,,,,"$1,620,000.00 ",No,-80.7877784,27.2095751
Whispering Pines MHC,2112 W Quincy St,Pittsburg,KS,66762,110,"$18,727 ","$15,166.00 ",0.74%,"$2,060,000.00 ",No,-94.7397184,37.3984027
The Village of Stonewood,100 Stonewood Dr,Lufkin,TX,75901,39,"$46,667 ","$154,406.00 ",8.48%,"$1,820,000.00 ",No,-94.7097697,31.2779553
"Club 85 Fairfield, ND",12803 20th St SW,Belfield,ND,58622,,,,,"$725,000.00 ",No,-103.2519011,46.8747588
The Gables,237 Salt Point Turnpike,Poughkeepsie,NY,12603,280,,,,,No,-73.892922,41.727737
Harrah Mobile Home Park,3701 S Pottawatomie Rd,Harrah,OK,73045,38,,,0.00%,"$750,000.00 ",No,-97.1428682,35.4271218
Pine Cone Trailer Park,262 Pine Cone Park,Perham,MN,56573,56,,"$263,669.00 ",9.59%,"$2,750,000.00 ",No,-95.58771453,46.60051736
Premier RV Club Portfolio,14301 Co Rd 28,Summerdale,AL,36580,,,,,"$19,650,000.00 ",No,-87.7824821,30.4616447
100 Sand Hill,100 Sand Hill MHP,Charleston,WV,25312,,,,,"$1,500,000.00 ",No,-81.67373356,38.47753485
Laz Daze,8042 HWY 441 SE,Okeechobee,FL,34974,14,,"$156,651.00 ",11.00%,"$1,400,000.00 ",Yes,-80.7424984,27.1862197
50th St Mobile Home Park,710 S 50th St,Tampa,FL,33619,13,"$107,692 ","$125,452.00 ",8.96%,"$1,400,000.00 ",No,-82.4009566,27.941886
Seffner FL - 20-Space MHP For Sale,1014 N Parsons Ave,Seffner,FL,33584,20,"$75,000 ","$109,920.00 ",7.33%,"$1,500,000.00 ",No,-82.2871498,28.0084407
"3373 E. Michigan Avenue Ypsilanti, MI",3373 E Michigan Ave,Ypsilanti,MI,48198,,,,,"$300,000.00 ",No,-83.5448282,42.2561941
"Lithia, FL Combination MHP With Warehouse",10605 Lithia Pinecrest Rd,Lithia,FL,33547,4,"$312,500 ","$78,198.00 ",6.26%,"$1,250,000.00 ",No,-82.0936275,27.8516609
Freedom Park,2600 US-20A,Varysburg,NY,14167,25,,"$92,325.00 ",11.19%,"$825,000.00 ",No,-78.3090156,42.7571936
Blueberry Ridge MHP,11769 MO-7,Warsaw,MO,65355,99,"$18,023 ",,,"$1,550,000.00 ",No,-93.4854137,38.2937101
Canon City's Central Ave Mobile Home Community,2341 Central Ave,Cañon City,CO,81212,24,"$133,333 ","$211,141.00 ",7.54%,"$2,800,000.00 ",Yes,-105.2130178,38.459657
Wilcox Ridge Mix Use Development,Wilcox Golf Rd,Red Bluff,CA,96080,,,,,"$3,500,000.00 ",No,-122.2548486,40.2214743
WEST C STREET MHC,1217 W C St,Torrington,WY,82240,8,"$46,875 ","$33,310.00 ",8.88%,"$375,000.00 ",Yes,-104.1887299,42.057335
"923 Hill Road Houston, Tx. 77037",923 Hill Rd,Houston,TX,77037,12,"$207,143 ",,,"$2,900,000.00 ",No,-95.37872768,29.89561283
Emerald Storage,18410 FM 969,Manor,TX,78653,25,,,,"$1,995,000.00 ",No,-97.5257771,30.2526368
2 Park IN Portfolio,1539 W 600 S,Peru,IN,46970,,,"$125,000.00 ",8.33%,"$1,500,000.00 ",No,NA,NA
Englehart RV  Mobile Home Portfolio,745 Englehart,San Antonio,TX,78264,50,,,,"$3,200,000.00 ",Yes,NA,NA
2912 E Rice St,2912 E Rice St,Sioux Falls,SD,57103,,,,,"$350,000.00 ",No,-96.6882703,43.5663319
Woodland MHP,7631 Daly Rd,Cincinnati,OH,45224,70,"$14,286 ",,,"$1,000,000.00 ",No,-84.53140313,39.212649
Bates City MHP  RV Park,2201 Outer Rd,Bates City,MO,64011,89,"$30,337 ","$268,359.00 ",9.94%,"$2,700,000.00 ",Yes,-94.06936248,39.01219891
221 Sequatchie Ln,221 Sequatchie Ln,Sequatchie,TN,37374,,,,,"$695,000.00 ",No,-85.5928705,35.1144903
Bonny Brook Mobile Home Park,Harris St,Jacksonville,AL,36265,,"$25,000 ","$94,914.00 ",7.59%,"$1,250,000.00 ",No,-85.7547313,33.7791612
15 UNITS INCOME PRODUCING,11240 N Northwood Dr INGLIS FL 15 UNITS,Inglis,FL,34449,15,"$15,000 ","$33,575.00 ",14.92%,"$225,000.00 ",No,-82.6786699,29.0240363
Bennett Homes  460 Colfax Ave,460 E Colfax Ave,Bennett,CO,80102,13,,,,"$2,735,000.00 ",No,NA,NA
9142 lankford hwy,9142 Lankford Hwy,Nassawadox,VA,23413,48,,,,"$1,750,000.00 ",No,-75.873226,37.455466
Bailey Acres Mobile Home Park,1 Bailey Ln,Rossville,GA,30741,28,,,,"$585,000.00 ",No,-85.3026498,34.9306325
"57.5 Acres Hwy 72 100 RV Hookups Yorktown, TXDewitt Co.",850 W Main St,Yorktown,TX,78164,,"$13,300 ",,,"$1,330,000.00 ",No,-97.51543081,28.97898257
Grande Vista,711 N Prescott Ave,Willcox,AZ,85643,,,,,"$1,500,000.00 ",No,-109.8338428,32.2620407
MIDLANDS FAMILY RV PARK,7022 East County Road 64,Midland,TX,79705,28,,,,"$750,000.00 ",No,-101.9780364,32.0610932
OfficeMultifamilyMobile Home Park South Augusta,3072 Deans Bridge Rd,Augusta,GA,30906,,,,,"$525,999.00 ",No,-82.0491987,33.42761208
Haven RV Park,6950 Lake Isabella Blvd,Lake Isabella,CA,93240,34,,,7.90%,"$950,000.00 ",No,-118.468889,35.635521
El Rancho Estates  Valley Palms,2370 E Hobsonway,Blythe,CA,92225,146,"$18,836 ","$205,517.00 ",4.52%,"$4,550,000.00 ",No,-114.5601683,33.6098078
Norfolk RV Park,9321 N Norfolk Rd,Cushing,OK,74023,11,,,0.00%,"$199,900.00 ",Yes,-96.7139086,36.08690016
Granite Creek manufactured housing community,670 Granite Rd,Kerhonkson,NY,12446,,,"$65,000.00 ",8.14%,"$825,000.00 ",No,-74.27244145,41.75354791
Northern CA Portfolio,1950 Northcrest Dr,Crescent City,CA,95531,145,,"$571,084.00 ",8.20%,"$6,995,000.00 ",No,NA,NA
9133 Two Notch Road,9133 Two Notch Rd,Columbia,SC,29223,,,,0.00%,"$1,200,000.00 ",No,-80.925418,34.0928783
Flour Bluff RV and Mobile Home Park,635 Yorktown Blvd,Corpus Christi,TX,78418,54,,"$156,789.00 ",7.13%,"$2,200,000.00 ",No,-97.3117572,27.6235282
Westridge Acres,3002 12th St,Harlan,IA,51537,84,"$19,643 ","$112,610.00 ",6.82%,"$1,650,000.00 ",Yes,-95.32563218,41.63868312
Mineola Rv Park,1359 US-80,Mineola,TX,75773,49,"$24,490 ","$87,651.00 ",7.30%,"$1,200,000.00 ",Yes,-95.4619901,32.6568415
Kentucky Avenue MHP,246 Vanzandt Road,Lily,KY,40740,28,,,9.70%,"$825,000.00 ",No,-84.061123,37.0190589
Lakeland FL 13-sp MHP Long Term Seller Financing,1335 Bell Ave,Lakeland,FL,33805,13,,"$129,414.00 ",10.78%,"$1,200,000.00 ",Yes,-81.995664,28.0616191
RIVERS EDGE RV PARK,15 Gilmore Rd,Red Bluff,CA,96080,59,"$38,983 ","$122,637.00 ",5.30%,"$2,300,000.00 ",No,-122.2277622,40.17885023
Welcome to the country life,2035 FM 1566,Celeste,TX,75423,1,,,,"$729,900.00 ",No,-96.2163597,33.3055312
River Bluff,14725 NW 1st Pkwy,Okeechobee,FL,34972,16,,"$145,135.00 ",8.80%,"$1,649,900.00 ",No,-80.9799628,27.2448526
Walnut Park Lane Mobile Home Park,Walnut Park Ln,Milton,NY,12547,40,"$92,500 ","$210,000.00 ",6.00%,,No,-73.9714636,41.6603
1201 Fort Selden Rd 36 Acres in Radium Springs,1201 Fort Selden Rd,Las Cruces,NM,88007,,,,,"$1,254,000.00 ",No,-106.9198295,32.4828363
8903 Nelson Road,8903 Nelson Rd,Soddy-Daisy,TN,37379,8,,,,"$600,000.00 ",No,-85.1461438,35.208172
Billujps,4742 Calhoun Dr,Liberty,NC,27298,,,,,,Yes,-79.6509419,35.9006991
9 Unit Mobile Home Park,15901 Brenda St,Hudson,FL,34667,9,,"$142,000.00 ",9.63%,"$1,475,000.00 ",Yes,-82.65273155,28.38861599
Fayetteville Hwy MHP,2552 Polly Adams Rd,Belfast,TN,37019,30,,"$215,000.00 ",,,No,-86.6862943,35.3736134
10 Unit Mobile Home Park,15520 Madeline Dr,Hudson,FL,34667,10,,"$127,000.00 ",9.34%,"$1,360,000.00 ",Yes,-82.65330293,28.38329228
Live Oak Belle Chase Mobile Home  RV Park,108 Peach Ln,Belle Chasse,LA,70037,52,,"$203,294.00 ",9.12%,"$2,230,000.00 ",No,-90.02982366,29.76939876
Orange Grove Trailer Park,510 Roberts Ln,Bakersfield,CA,93308,51,,,5.65%,"$2,350,000.00 ",Yes,-119.0309043,35.4085976
Hennon  Dugger MHP Portfolio,1080 Hennon Dr NW,Rome,GA,30165,19,"$25,263 ","$96,025.00 ",12.31%,"$780,000.00 ",No,NA,NA
Magnolia Court,621 Live Oak St,Freeport,FL,32439,6,,"$52,409.00 ",10.28%,"$510,000.00 ",No,-86.3430132,30.4721739
RV Park,111 2806,Mabank,TX,75147,21,,,,"$1,700,000.00 ",No,-96.0467429,32.4150706
Blythe Marina Estates MHC MAJOR PRICE REDUCTION,251 S Colorado River Rd,Blythe,CA,92225,60,,,,,No,-114.5342492,33.6079208
Timberview Estates,383 Church St,Corsica,PA,15829,111,"$5,396 ",,,"$599,000.00 ",No,-79.2050521,41.1842414
Meadowbrook Court Mobile Home Park,333 N County Line Rd,Windsor,MO,65360,17,"$52,941 ","$88,834.00 ",9.87%,"$900,000.00 ",No,-93.5120559,38.5365602
16530 Stoddard Wells Rd. Shady Oasis Mobile Home  RV Park,16530 Stoddard Wells Rd.,Victorville,CA,92395,154,,,,"$3,500,000.00 ",No,-117.2912281,34.5505396
"Desirable 55 Mobile Home Park in Duluth, MN",3911 Brian Rd,Duluth,MN,55803,,,,,"$1,200,000.00 ",No,-92.0910555,46.8577968
Hwy 19 7-Unit Mixed Complex - Investment Opp,2892 TX-19,Huntsville,TX,77320,7,,,,"$950,000.00 ",No,-95.46343357,30.79306202
492 GA Hwy 87 Mobile Home Park,492 Georgia Hwy 87 S,Cochran,GA,31014,0,,,,"$1,300,000.00 ",No,-83.32712597,32.36866988
Old Clarksburg Lumber Yard Offering,52980 Clarksburg Rd,Clarksburg,CA,95612,,,,,"$775,000.00 ",No,-121.528099,38.42065
Develpment Ground,2121 NE 3rd St,Prineville,OR,97754,,,,,"$1,199,999.00 ",No,-120.8215279,44.30326236
The Breeze at Oleander,1845 Oleander,Bolivar Peninsula,TX,77650,3,"$149,667 ",,,"$449,000.00 ",No,-94.634019,29.45323
Fields Walk MHC,15 Fields Walk,Summerville,GA,30747,101,"$34,653 ",,6.64%,"$3,500,000.00 ",No,-85.3269502,34.5153783
RiverWalk RV Park,3040 Clemans Rd,Clarkston,WA,99403,31,,,7.00%,"$2,150,000.00 ",No,-117.0660209,46.3666268
520 Bone Plain Road,520 Bone Plain Rd,Freeville,NY,13068,,,,,"$225,000.00 ",No,-76.4266376,42.5308714
RV Parking,5401 County Rd 75,Midland,TX,79707,17,"$28,176 ","$64,680.00 ",13.50%,"$479,000.00 ",No,-102.2616781,32.019466
Cotulla Village Mancamp Portfolio,748 TX-115,Kermit,TX,79745,123,,"$575,313.00 ",15.55%,"$7,825,000.00 ",No,-103.1125469,31.8438279
Preble Way Land - Approved Modular Home Park,51366 Preble Way,La Pine,OR,97739,11,,,,"$250,000.00 ",No,-121.5031425,43.6647443
Natures Paradise RV Park,100 Pr 6065,Grapeland,TX,75844,33,,,,"$890,000.00 ",No,-95.615899,31.425132
Lake Morena RV Park,2330 Lake Morena Dr,Campo,CA,91906,41,,,10.32%,,No,-116.508553,32.676412
4 Unit Mobile HomeRV Park,US-441,Okeechobee,FL,34974,,,,,"$375,000.00 ",No,-80.6842759,27.1299246
Pines Senior Park,10530 Walker Dr,Grass Valley,CA,95945,28,,"$169,373.00 ",5.21%,"$3,250,000.00 ",No,-121.0821803,39.2207839
Thunderhill Place,3592 Thunderhill Pl,Vincennes,IN,47591,,"$23,913 ","$74,717.00 ",6.79%,"$1,100,000.00 ",No,-87.4821603,38.7288461
Iowa Portfolio,2699 Garnavillo Dr,Dubuque,IA,52003,1215,,,,,No,-90.6814631,42.4556907
Poplar Street Mobile Home Park -Land,Poplar St,Watford City,ND,58854,,,,,"$430,000.00 ",No,-103.2757748,47.80505508
-5.21 Acres of Coveted CMX Zoning  Current Use is MHP,104 E Sierra Ave,Fresno,CA,93710,60,,,,"$4,095,000.00 ",No,-119.7864938,36.8314451
La Pine Mobile Home Park,51386 Huntington Rd,La Pine,OR,97739,15,"$128,571 ","$105,143.00 ",5.84%,"$1,800,000.00 ",No,-121.5050282,43.6671374
24-Space MHP Near St Augustine For Sale - Seller Financing,2800 Co Rd 13A,Elkton,FL,32033,8,,,,,No,-81.4846687,29.7790956
"Saddlebrook River Estates, The River Club",362 Saddlebrook Dr,Sparta,TN,38583,132,"$15,076 ",,,"$1,990,000.00 ",No,-85.46629077,35.84638495
Brick House RV Park,1029 FM 2094,Kemah,TX,77565,105,,,,,No,-95.03353513,29.54052634
Sandusky Mobile Home Park,2721 340th St,Keokuk,IA,52632,11,"$11,000 ","$18,689.00 ",8.50%,"$220,000.00 ",No,-91.39196376,40.46466751
Pageland MHP Portfolio,5622 Steen Rd,Jefferson,SC,29718,,"$53,571 ","$148,234.00 ",9.88%,"$1,500,000.00 ",No,-80.329971,34.654918
Motherlode 55 MHC,14192 Tuolumne Rd,Sonora,CA,95370,92,"$70,652 ","$381,941.00 ",5.88%,"$6,500,000.00 ",No,-120.332411,37.967775
Baytown Rv Park,108 Ward Rd,Baytown,TX,77520,55,"$45,455 ",,,"$2,500,000.00 ",No,-94.96346608,29.7424327
3.81 AC RVMH Park or Self Storage Development Opportunity,4409 W Stan Schlueter Loop,Killeen,TX,76549,,,,,"$500,000.00 ",No,-97.79665205,31.0888316
Summerville Trade Day Flea Market,100 Elder Trailer Park Rd,Summerville,GA,30747,,,,,"$995,000.00 ",No,-85.3306534,34.50387
Confidential Southeast Ohio MHP,100 Confidential,Belpre,OH,45714,43,"$33,721 ","$89,081.00 ",6.14%,"$1,450,000.00 ",No,-81.6254283,39.3297421
11 RV Spaces  Georgetown ETJ  Toll Road 130,300 Lisa Ln,Georgetown,TX,78626,12,,"$64,740.00 ",5.10%,"$1,270,000.00 ",No,-97.6352104,30.6651126
Countryside Mobile Home Park,1357 Tulip Ave,Riverside,IA,52327,13,"$38,846 ","$46,296.00 ",9.17%,"$505,000.00 ",No,-91.5756381,41.45932
Tingley Lake Estates,11800 Tingley Ln,Klamath Falls,OR,97603,54,"$65,741 ","$269,937.00 ",7.60%,"$3,550,000.00 ",No,-121.779171,42.116982
Hood Canal Commercial Waterfront RV Sites,6791 WA-106,Union,WA,98592,,,,,"$599,000.00 ",No,-123.0741771,47.3485509
Indian Shores RV Resort,7750 Indian Shrs Rd,Woodruff,WI,54568,195,,,,,No,-89.6426026,45.8424769
Mansfield LOT 23 Residential Developer Needed.,54 Nadalini Dr,Mansfield,PA,16933,,,,,"$279,900.00 ",No,-77.0839943,41.799503
Maple Leaf,5800 Leedale St,Houston,TX,77016,33,,"$182,560.00 ",6.50%,"$3,410,000.00 ",No,-95.3041148,29.8756936
Rainbow Plantation RV Park,16191 Siena St,Summerdale,AL,36580,,,,,"$4,000,000.00 ",No,-87.7815235,30.4612145
Pine Springs Mobile Home Park Redevelopment,6920 Clark Rd,Paradise,CA,95969,,"$9,800 ",,,"$627,200.00 ",No,-121.584315,39.785599
Randall Fugate,335 Randall Fugate Rd,Spring City,TN,37381,,,,,"$198,000.00 ",No,-84.7563187,35.740629
Victorian Village,148 W Park Ave,Empire,CO,80438,12,"$82,917 ","$76,099.00 ",7.65%,"$995,000.00 ",No,-105.6846098,39.7613431
Hazel Crest,16902 Dixie Hwy,Hazel Crest,IL,60429,25,,,,"$590,000.00 ",No,-87.6657709,41.5818669
